participantId,objectName,objectDwellFirstTime,objectDwellEndTime,objectDwellTotalTime,objectDwellValid,objectDwellPosX,objectDwellPosY,objectDwellPosZ,objectDwellDistance
501,Wall_Part,8896.0,8920.0,24.0,0,48.1632,16.56413,27.07088,30.707972
501,Radiator_ET,8928.0,8928.0,0.0,0,48.06314,16.56411,27.06895,30.637133
501,Wall_Part,8940.0,8948.0,8.0,0,48.03811,16.56409,27.06848,32.45443
501,Radiator_ET,8964.0,9108.0,144.0,1,47.96312,16.56405,27.06711,31.159916
501,Wall_Part,9116.0,9172.0,56.0,1,47.48879,16.56384,27.0585,29.89471
501,4D_Medium_Plant_10,9184.0,9184.0,0.0,0,47.2889,16.56389,27.05499,35.549408
501,4D_Medium_Plant_2,9196.0,9196.0,0.0,0,47.26395,16.56386,27.05466,35.384266
501,4C_Medium_Plant_1,9204.0,9204.0,0.0,0,47.23894,16.56384,27.05424,27.509312
501,Basic Wall:Cihla plná pálená 750mm:728921,9204.0,9216.0,12.0,0,47.21394,16.56384,27.05379,15.956938
501,4A_Tree_1,9228.0,10028.0,800.0,1,47.16392,16.56378,27.05295,3.4877324
501,sideDoorsNonSpecific,10036.0,10092.0,56.0,1,44.73824,16.56369,27.02341,4.602674
501,Basic Wall:Cihla plná pálená 750mm:728921,10104.0,10128.0,24.0,0,44.53824,16.56387,27.01984,4.6338625
501,sideDoorsNonSpecific,10140.0,10204.0,64.0,1,44.43811,16.5638,27.0179,4.4735465
501,Basic Wall:Cihla plná pálená 750mm:728921,10216.0,10348.0,132.0,1,44.18827,16.56358,27.01333,4.3001857
501,sideDoorsNonSpecific,10360.0,10416.0,56.0,1,43.76381,16.56356,27.0058,3.7625425
501,Basic Wall:Cihla plná pálená 750mm:728921,10428.0,10728.0,300.0,1,43.56384,16.56352,27.00227,3.8022966
501,4B_Auditorium_Sign,10740.0,10760.0,20.0,0,42.63811,16.5631,26.98447,10.769612
501,Basic Wall:Cihla plná pálená 750mm:728921,10772.0,10772.0,0.0,0,42.53802,16.56299,26.98239,11.111174
501,4B_Auditorium_Sign,10772.0,10840.0,68.0,1,42.51302,16.56299,26.98195,10.976268
501,Basic Wall:Cihla plná pálená 750mm:728921,10840.0,11072.0,232.0,1,42.31302,16.56287,26.97807,10.874525
501,Switch,11072.0,11072.0,0.0,0,41.61306,16.56283,26.96241,26.646215
501,4D_Hall_End,11084.0,11084.0,0.0,0,41.58808,16.56284,26.96167,30.492373
501,Wall_Part,11096.0,11108.0,12.0,0,41.56307,16.56281,26.96089,23.289768
501,4I_Switch_Dot_NE,11116.0,11128.0,12.0,0,41.48808,16.56275,26.95878,9.98791
501,Wall_Part,11140.0,11140.0,0.0,0,41.43794,16.56271,26.95715,9.971186
501,4I_Switch_Dot_NE,11148.0,11404.0,256.0,1,41.38792,16.56265,26.95592,9.895269
501,Wall_Part,11416.0,11572.0,156.0,1,40.58669,16.56168,26.93789,9.099129
501,4C_Window_1,11584.0,11584.0,0.0,0,40.08723,16.56206,26.92922,14.755801
501,4D_Medium_Plant_10,11596.0,11596.0,0.0,0,40.06227,16.56208,26.92887,28.339453
501,Basic Wall:Cihla plná pálená 750mm:728921,11604.0,11692.0,88.0,1,40.0373,16.56209,26.92848,20.795996
501,sideDoorsNonSpecific,11704.0,11772.0,68.0,1,39.73764,16.5622,26.92412,7.445662
501,Basic Wall:Cihla plná pálená 750mm:728921,11772.0,11772.0,0.0,0,39.51313,16.56229,26.92113,7.313905
501,sideDoorsNonSpecific,11784.0,11804.0,20.0,0,39.48822,16.56234,26.9209,7.2800117
501,Basic Wall:Cihla plná pálená 750mm:728921,11804.0,11908.0,104.0,1,39.41346,16.56246,26.91994,7.219152
501,sideDoorsNonSpecific,11916.0,11916.0,0.0,0,39.08938,16.56314,26.91554,6.9180994
501,Basic Wall:Cihla plná pálená 750mm:728921,11928.0,12204.0,276.0,1,39.06444,16.5632,26.91521,6.8767676
501,4B_Auditorium_Sign,12204.0,12216.0,12.0,0,38.21457,16.5633,26.90223,6.2859044
501,Basic Wall:Cihla plná pálená 750mm:728921,12228.0,12228.0,0.0,0,38.16457,16.5633,26.9015,6.2266717
501,4B_Auditorium_Sign,12240.0,12240.0,0.0,0,38.13953,16.56333,26.90111,6.218912
501,Basic Wall:Cihla plná pálená 750mm:728921,12248.0,12272.0,24.0,0,38.08952,16.56334,26.90029,6.1569657
501,4B_Auditorium_Sign,12284.0,12328.0,44.0,0,37.9895,16.56338,26.89865,6.080595
501,Basic Wall:Cihla plná pálená 750mm:728921,12340.0,12340.0,0.0,0,37.83946,16.56334,26.8962,6.591385
501,4B_Auditorium_Sign,12348.0,12360.0,12.0,0,37.78947,16.56331,26.89535,6.440593
501,Basic Wall:Cihla plná pálená 750mm:728921,12372.0,12416.0,44.0,0,37.73941,16.56324,26.89457,6.468294
501,4B_Auditorium_Sign,12428.0,12448.0,20.0,0,37.56432,16.56317,26.89179,6.194854
501,Basic Wall:Cihla plná pálená 750mm:728921,12460.0,12460.0,0.0,0,37.46422,16.5631,26.89015,6.212574
501,4B_Auditorium_Sign,12472.0,12472.0,0.0,0,37.43916,16.56308,26.88968,6.066632
501,Basic Wall:Cihla plná pálená 750mm:728921,12484.0,12516.0,32.0,0,37.38912,16.56301,26.88874,6.1999993
501,4D_Hall_End,12528.0,12540.0,12.0,0,37.26392,16.56273,26.88568,26.222025
501,Wall_Part,12548.0,12560.0,12.0,0,37.18882,16.56247,26.88365,12.050752
501,4I_Switch_Dot_NE,12572.0,12596.0,24.0,0,37.13869,16.56223,26.88195,5.6719894
501,Wall_Part,12604.0,12628.0,24.0,0,37.03852,16.56182,26.87888,5.6948414
501,4I_Fire_Extinguisher,12636.0,12636.0,0.0,0,36.93842,16.56153,26.87584,5.5191574
501,Wall_Part,12648.0,12704.0,56.0,1,36.88842,16.5615,26.87456,5.546579
501,4I_Switch_Dot_NE,12704.0,12704.0,0.0,0,36.71375,16.56151,26.86979,5.350946
501,Wall_Part,12716.0,12724.0,8.0,0,36.68882,16.56151,26.869,5.352169
501,4I_Fire_Extinguisher,12740.0,12740.0,0.0,0,36.63899,16.56152,26.86741,5.2362537
501,Wall_Part,12748.0,12748.0,0.0,0,36.58907,16.56152,26.86615,5.271322
501,4I_Fire_Extinguisher,12760.0,12760.0,0.0,0,36.56411,16.56157,26.86534,5.1673865
501,Wall_Part,12772.0,12772.0,0.0,0,36.53916,16.56159,26.86449,5.222656
501,4I_Fire_Extinguisher,12784.0,12872.0,88.0,1,36.48924,16.56157,26.86315,5.0885262
501,4I_Bars_Collider,12884.0,12892.0,8.0,0,36.19052,16.56127,26.84963,4.7110453
501,4I_Closing_Bars,12904.0,12948.0,44.0,0,36.14106,16.56115,26.84546,4.068164
501,4I_Bars_Collider,12960.0,13060.0,100.0,1,35.96923,16.56084,26.82551,3.3593504
501,Wall_Part,13072.0,13072.0,0.0,0,35.65861,16.5604,26.75333,1.4389356
501,4I_Bars_Collider,13072.0,14004.0,932.0,1,35.63487,16.5604,26.74547,2.575926
501,4I_Closing_Bars,14004.0,14216.0,212.0,1,33.39897,16.5582,25.86165,1.0311632
501,4I,14228.0,14228.0,0.0,0,33.06575,16.55674,26.03353,7.7620816
501,4I_Bars_Collider,14236.0,14536.0,300.0,1,33.06616,16.55674,26.03377,1.1476566
501,4I,14548.0,14572.0,24.0,0,33.07045,16.55636,26.03419,7.918365
501,4I_Closing_Bars,14580.0,15448.0,868.0,1,33.0643,16.55623,26.00948,1.1423212
501,4I_Bars_Collider,15448.0,16224.0,776.0,1,33.20803,16.5576,25.45943,0.54357654
501,4I_Closing_Bars,16236.0,16556.0,320.0,1,33.05405,16.55806,25.49992,0.6246566
501,4I,16568.0,16568.0,0.0,0,33.05812,16.55879,25.50316,8.129659
501,4I_Closing_Bars,16580.0,18156.0,1576.0,1,33.05817,16.55884,25.50327,0.6268579
